"- 选择存储渲染图像的路径","- Select the path to store the rendered images"
"- 为图像添加名称作为前缀","- Add a name to the images as prefix"
"共享分辨率 X","Shared Resolution X"
"共享分辨率 Y","Shared Resolution Y"
"- 为图像添加名称作为前缀 默认 = 图像","- Add a name to the images as prefix\n- Default = Image"
"4 个场景摄像机","4 SCENES CAMERA"
"添加 ** 相机 **","** CAMERAS ADDED **"
"添加 3 个场景副本","Add 3 Scene Copies"
"选定 4 个场景：","Selected 4 Scenes:"
"至场景","To Scene"
"景深","Depth of Field"
"对焦对象","Focus Object:"
"显示限制","Show Limits"
"摄像机距离（毫米）","Camera Distance (mm):"
"将摄像机添加到场景","Add Cameras To Scenes:"
"添加摄像机","Add Cameras"
"删除摄像机","Delete Cameras"
"图像名称","Image Name:"
"渲染输出路径","Render Output Path:"
"分辨率","Resolution:"
"分辨率 X","Resolution X"
"分辨率 Y","Resolution Y"
"即时/默认","Insta / Default"
"应用设置：","Apply Settings:"
"输出设置","Output Settings"
"渲染后打开文件夹","Open Folder After Render"
"渲染图像：","Render Images:"
"物体摄像机","OBJECT CAMERAS"
"添加查看摄像机：","Add View Cameras:"
"添加视图摄像机","Add View Cameras"
"查看摄像机","Camera Views:"
"至前置摄像头","To Front Camera"
"至顶部摄像机","To Top Camera"
"至左侧摄像头","To Left Camera"
"至右侧摄像机","To Right Camera"
"切换到源场景","Switch To Source Scene"
"跟踪选定对象","Track Selected Object"
"居中摄像机","Center Cameras"
"删除视图摄像机","Delete View Cameras"
"切换到场景","Switch to Scene"
"- 切换到选中的场景并选择添加的摄像机","- Switches to the checked scene and selects the camera if added"
"- 如果需要相同的 “世界 ”属性，则会复制 3 个活动场景。","- Makes 3 copies of the active scene\n- If the same World properties are needed"
"- 在选中的场景中添加一个摄像机。","- Adds a camera to the checked scenes.\n- Selecting 4 scenes will enable this button"
"4CamViews_","4CamViews_"
"切换分辨率","Toggle Resolution"
"- 在 1080x1350 和 1920x1080 之间切换分辨率（默认为 1920x1080","- Toggle resolution between 1080x1350 and 1920x1080\n- 1920x1080 is default"
"渲染输出目录","Render Output Directory"
"设置渲染输出","Set Render Output"
"- 确认图像名称、渲染输出路径和分辨率 ","- Confirm the image name, render output path and resolution "
"渲染","RENDER"
"将 4 幅图像和一幅合并图像渲染到所选路径","Renders 4 images and a combined image to the selected path"
"- 删除所选场景中已添加的摄像机","- Deletes the added cameras of the selected scenes"
"添加四个摄像机","Add Four Cameras"
"'","'"
"- 添加面向选定对象的 4 个摄像机。","- Adds 4 cameras facing the selected object.\n- Select an object first to enable the button"
"到摄像机","To Camera"
"- 切换到可启用景深和显示限制的前置摄像机","- Switches to the Front Camera where the Depth Of Field and Show Limits can be enabled"
"- 切换到顶部摄像机，启用景深和显示限制","- Switches to the Top Camera where the Depth Of Field and Show Limits can be enabled"
"- 切换到左侧摄像机，启用景深和显示限制","- Switches to the Left Camera where the Depth Of Field and Show Limits can be enabled"
"- 切换到可启用景深和 “显示限制 ”的右侧摄像机","- Switches to the Right Camera where the Depth Of Field and Show Limits can be enabled"
"切换到主场景","Switch to MAIN SCENE"
"- 切换回选择对象的场景 - 在此场景中，输出设置、渲染等按钮将启用 ","- Switches back to the scene where the object was selected\n- In this scene, the buttons for the Output settings, Render, etc...will be enabled "
"设置自定义渲染输出","Set Custom Render Output"
"按下按钮后，摄像机将跟踪新选定的对象","The cameras will track the newly selected object when pressed"
"将光标移至原点并设置空位置","Move Cursor to Origin and Set Empty Position"
"- 按下此按钮后，摄像机将定位到所选对象 ","- Pressing this button will position the cameras to the selected object "
"渲染 4 个摄像机的视图和视图的组合图像","Renders the 4 camera views and a combined image of the views"
"- 删除指定场景中添加的 4 个摄像机、链接的空和摄像机视图集合","- Deletes the 4 added cameras, linked empty, and CameraViews collections in specified scenes"
"标签类别","Tab Category"
"为面板类别选择名称","Choose a name for the category of the panel"
"选项卡类别：","Tab Category:"
"- 摄像机与空图像之间的距离，以毫米为单位","- Distance between camera and empty, in millimeters"
"用于摄像机","Use for Cameras"
"- 添加摄像机时包含此场景","- Include this scene for adding cameras"
"自定义图像名称","Custom Image Name"
"渲染后打开渲染文件夹","Open the render folder after rendering"