"文本曲线","TextCurve"
"文本对象","TextObject"
"未命名磁带","Unnamed_Tape"
"'","'"
"布尔型","Boolean"
"镜像","Mirror"
"收缩包装","Shrinkwrap"
"油漆属性","Paint Property"
"设计属性","Design Property"
"其他工具属性","OtherTools Property"
"接缝颈部工具属性","SeamNeckTool Property"
"接缝袖口工具属性","SeamCuffsTool Property"
"接缝背面工具属性","SeamBackTool Property"
"接缝中心属性","SeamCenter Property"
"接缝肩部属性","SeamShoulder Property"
"臃肿袖子属性","BloatSleeve Property"
"臃肿上袖属性","BloatUpperSleeve Property"
"前臂属性","BloatForearm Property"
"臃肿上衣属性","BloatTop Property"
"裤腿属性","BloatTrouserLeg Property"
," "
"智能布料生成器","Divine Cut | Smart Cloth Generator"
"新布料","New Cloth"
"生成上衣","Generate Top Rig"
"生成裤子","Generate Trouser Rig"
"生成裤子","Generate Trouser"
"生成上衣","Generate Top"
"布料类型 ","Cloth Type "
"字符 ","Character "
"布料 ","Cloth "
"绑定","Bind"
"在角色上定位点","Position the points on your Character"
"是 可爱","Yes. Lovely"
"好了，现在确保圆圈紧贴角色","Alright now make sure the circles hug the character"
"未找到神衣","No Divine Cloth found"
"选择角色并点击 ","Select your Character and click "
"剩下的就交给老天爷吧","The heavens will take care of the rest"
"上色","Paint"
"平滑","Smooth"
"针刺","Pinning"
"加压","Pressure"
"充气/放气","Inflate/Deflate"
"收缩","Shrinking"
"收缩刷新","ShrinkRefresh"
"插针和收缩","Pin & Shrink"
"针刺和收缩","PinAndShrink"
"刷新","Refresh"
"弯曲","Bending"
"设计","Design"
"按钮","Button"
"压缩对象","Zip Object"
"添加按钮","Add Button"
"添加拉链","Add Zip"
"添加衣领","Add Collar"
"添加连帽衫","Add Hoodie"
"收缩包袖口","Shrinkwrap Cuffs"
"袖口","Puff"
"这些功能正在开发中，可能无法始终如预期般运行","These features are in development and may not always work as expected"
"这些功能正在开发中，可能无法按预期运行","and may not always work as expected"
"切换接缝","Toggle Seams"
"领口","Neck"
"袖口","Cuffs"
"背面","Back"
"中间","Center"
"肩部","Shoulder"
"臃肿","Bloat"
"数量","Amount"
"袖子","Sleeve"
"袖子上部","Upper Sleeve"
"前臂","Forearm"
"上臂","Top"
"裤腿","Trouser Leg"
"其他工具","Other Tools"
"当前要烘焙的缓存","Current Cache to Bake"
"打开 URL","Open URL"
"缓存到烘焙","Cache to Bake"
"物理","PHYSICS"
"构建钻模","Build Rig"
"生成模型","Generate Rig"
"腰部","Waist"
"腰围","WaistCircle"
"乳头","Nipple"
"乳头点","NipplePoint"
"肩部圆环","ShoulderCircle"
"双点","Bicept"
"双头圆","BiceptCircle"
"颈部圆点","NeckCircle"
"脚踝","Ankle"
"脚踝圆环","AnkleCircle"
"生成 Rig 长裤","Generate Rig Trousers"
"膝关节圆环","KneeCircle"
"大腿","Thigh"
"大腿圈","ThighCircle"
"腹股沟","Groin"
"腹股沟点","GroinPoint"
"胫骨_T-恤","Divine_T-Shirt"
"BiceptLoop","BiceptLoop"
"生成裤子","Generate Trousers"
"Divine_Trousers","Divine_Trousers"
"画组","Paint Group"
"绑定到角色","Bind to Character"
"关于拉链","abouttospawnazipper"
"DIVINE_ZIP","DIVINE_ZIP"
"领子","gonnabemakingacollar"
"神领","Divine_Collar"
"吹风机","Puffer"
"abouttospawnapuffer","abouttospawnapuffer"
"我的枚举属性","My Enum Property"
"膨胀量属性","Bloat Amount Property"
"缓存启动","Cache Start"