"空","empty"
" 返回给定的名称作为有效的 python 表示，以用作脚本中的变量名"," Returns the given name as a valid python represention to use as variable names in scripts "
" 返回基于给定名称列表的唯一名称"," Returns a unique name based for the given list of names "
" 返回给定行开头的空格量"," Returns the amount of spaces at the start of the given line "
" 返回给定文本行的最小缩进量 将给定的"," Returns the minimum indent of the given lines of text "
" 代码规范化为最小缩进量并删除空行"," Normalizes the given code to the minimum indent and removes empty lines "
" 按给定的缩进量缩进给定的代码。在代码中插入多行块时使用此功能"," Indents the given code by the given amount of indents. Use this when inserting multiline blocks into code "
"工具提示","Tooltip"
"单击以了解更多","Click to learn more"
"信息 信息","Info"
"Serpens 属性 名称","Serpens Properties"
"资源的名称","Name"
"路径","Name of the asset"
"资源","Path"
"文件的路径","Path to the asset file"
"添加资源","Add Asset"
"将资源添加到插件","Adds a asset to the addon"
"类型","Type"
"将此目录或文件添加为资源","Add this directory or this file as an asset"
"删除资源","Remove Asset"
"从插件中移除此资源","Removes this asset from the addon"
"查找节点","Find Node"
"查找资源","Find Asset"
"在插件中查找此资源","Finds this asset in the addon"
"未找到此资源的","No nodes found for this asset"
"节点 空资源节点","Empty Asset Nodes"
"未找到空资源节点","No empty asset nodes found"
"添加","Add Asset Node"
"资源节点 添加资源节点","Adds an asset node"
" 返回所有属性的命令性代码"," Returns the imperative code for all properties "
" 返回所有属性"," Returns the register code for all properties "
" 的注册代码 返回所有属性的注销代码"," Returns the unregister code for all properties "
"此属性可以存储的数据类型","The type of data this property can store"
" 绘制常规属性设置"," Draws the general property settings "
"可动画的","Animatable"
"文本编辑 更新","Textedit Update"
"{self.name} ","{self.name}"
"{self.description}","{self.description}"
" 注册属性并注销上一个版本"," Registers the property and unregisters previous version "
"附加到 要","Attach To"
"将此属性附加到的混合数据的类型","The type of blend data to attach this property to"
"隐藏","Hidden"
"跳过 保存 返回","Skip Save"
" 此属性所在的集合"," Returns the collection this property lives in "
" 返回主属性集合所在的源"," Returns the source where the main property collection lives "
" 返回此属性的完整数据路径"," Returns the full data path for this property "
" 使用父类的编译函数更新"," Update the property with the parent classes compile function "
"属性 属性名称","Property Name"
"此属性的名称","Name of this property"
"说明","Description"
"此属性的说明，显示在工具提示中","The description of this property, shown in tooltips"
"选项","Options"
"此属性的选项","Options for this property"
"类别","Category"
"此","The category this property is displayed in"
"属性显示的类别此属性类别的名称","The name of this property category"
"添加属性类别","Add Property Category"
"添加属性类别","Adds a property category"
"删除属性类别","Remove Property Category"
"删除属性类别","Removes a property category"
"编辑属性类别","Edit Property Categories"
"编辑插件属性类别","Edit the addon property categories"
"类别","Categories"
"未添加类别","No categories added"
"添加类别","Add Category"
"移动属性类别","Move Property Category"
"将选定属性移动到其他类别","Move the selected property to a different category"
"添加属性","Add Property"
"向插件添加属性","Adds a property to the addon"
"新建属性","New Property"
"删除属性","Remove Property"
"从插件中移除此属性","Removes this property from the addon"
"移动属性","Move Property"
"移动此属性","Moves this property"
"复制属性","Duplicate Property"
"复制所选属性 复制","Duplicates the selected property"
"Python 名称","Copy Python Name"
"复制此项的 Python 名称以在脚本中使用","Copies the python name of this item to use in scripts"
"添加枚举项","Add Enum Item"
"向此属性添加枚举项 移除枚举项 从此","Adds an enum item to this property"
"属性中移除枚举项 移动","Remove Enum Item"
"枚举","Removes an enum item from this property"
"项 移动","Move Enum Item"
"此枚举项","Moves this enum item"
"向此组","Adds a property to this group"
"添加属性 添加属性节点弹出窗口","Add Property Node Popup"
"打开弹出窗口让您选择属性节点 属性","Opens a popup to let you choose a property node"
"显示","Property"
"属性","Display Property"
"在属性更新时","Set Property"
"设置属性 添加","On Property Update"
"属性节点","Add Property Node"
"将此节点添加到编辑器","Adds this node to the editor"
"查找属性","Find Property"
"在插件中查找此属性","Finds this property in the addon"
"未找到此属性的","No nodes found for this property"
"节点 空属性节点","Empty Propert Nodes"
"未找到空属性节点","No empty property nodes found"
" 返回属性列表，按注册排序"," Returns a list of the properties, sorted for registering "
" 如果给定的属性组具有指针或集合属性并引用其他属性组，则"," Returns if the given property group has pointer or collection props with references to other prop groups "
"返回布尔属性可以保存 True 或 False 的值。\n","Boolean properties can hold a value of True or False.\n"
" 绘制此属性类型的设置"," Draws the settings for this property type "
"默认","Default"
"此属性的默认值（对于现有的附加项，这可能不会自动重置）","Default value of this property (This may not reset automatically for existing attached items)"
"是矢量","Is Vector"
"如果此属性是矢量 矢量","If this property is a vector"
"大小","Vector Size"
"矢量属性的长度","Length of the vector property"
"整数属性可以保存十进制数。\n","Integer properties can hold decimal number.\n"
"所选属性不是组！","The selected property is not a group!"
"可以","Can"
"没有选择有效的属性组！","There is no valid property group selected!"
"属性组","Property Group"
"您要指向的属性组","The property group you want to point to"
"此枚举项的名称","Name of this enum item"
"此枚举项的描述 图标此枚举项的","Description of this enum item"
"图标","Icon"
"值","Icon value of this enum item"
"枚举属性可以包含具有名称和描述的多个项。\n","Enum properties can hold multiple items with a name and description.\n"
"添加项","Add Item"
"生成项","Generate Items"
"选择多个（枚举集）","Select Multiple (Enum Set)"
"可让您从此属性中选择多个选项","Lets you select multiple options from this property"
"动态项","Dynamic Items"
"这些项是使用函数生成的，并且不是","The items are generated with a function and aren"
"项","Items"
"枚举项","Enum Items"
"浮点属性可以包含十进制数。\n","Float properties can hold decimal number.\n"
"子类型","Subtype"
"此属性的子类型。这会更改属性的显示方式","The subtype of this property. This changes how the property is displayed"
"单位","Unit"
"此属性的单位。这会更改属性的显示方式","The unit of this property. This changes how the property is displayed"
"最小值","Minimum"
"使用最小属性值","Use a minimum property value"
"此属性的最小值","The minimum value of this property"
"最大值","Maximum"
"使用最大属性值","Use a maximum property value"
"软最小值","Soft Minimum"
"使用软","Use a soft minimum property value"
"最小属性值 此属性的软","The soft minimum value of this property"
"最小值 此属性的最大值","The maximum value of this property"
"软最大值","Soft Maximum"
"使用软最大属性值此","Use a soft maximum property value"
"属性的软最大值","The soft maximum value of this property"
"步骤","Step"
"UI 中的增量/减量步长","Step of increment/decrement in the UI"
"精度","Precision"
"要显示的最大小数位数","Maximum number of decimal digits to display"
"展开","Expand"
"展开此属性","Expand this property"
" 返回此属性所在的属性集合的父级"," Returns the parent of the property collection this property lives in "
"组属性可以包含多个其他属性。\n ","Group properties can hold multiple other properties.\n"
"PROP_PATH_PLACEHOLDER。","PROP_PATH_PLACEHOLDER."
"指针属性可以指向特定类型的混合数据或属性组。\n","Pointer properties can point to specific types of blend data or property groups.\n"
"数据类型","Data Type"
"此属性要指向的混合数据的类型","The type of blend data to have this property point to"
"使用属性组","Use Property Group"
"指向您创建的自定义属性组","Point to a custom property group you created"
"枚举集","Enum Set"
"DUMMY","DUMMY"
"用于解析路径的虚拟道具","Dummy prop for resolving path"
" 返回这些设置所属的属性"," Returns the property these settings belong to "
" 编译这些设置的属性"," Compile the property for these settings "
" 返回属性更新函数的代码"," Returns the code for the on property update function "
" 返回更新函数的代码"," Returns the code for the update function "
" 返回更新函数选项的代码"," Returns the code for the update function option "
"添加节点以生成动态枚举项","Adds a node to generate dynamic enum items"
"字符串属性可以保存一行文本。\n","String properties can hold a line of text.\n"
"最大长度","Max Length"
"字符串的最大长度（0 表示无限制）","The maximum length of the string (0 is unlimited)"
" 注册变量并取消注册上一版本"," Registers the variable and unregisters previous version "
"变量名称","Variable Name"
"此变量的名称 此变量","Name of this variable"
"存储的数据类型 变量的","The type of data this variable stores"
"默认值","Default value for the variable"
"添加变量","Add Variable"
"向插件添加变量","Adds a variable to the addon"
"新变量","New Variable"
"删除变量","Remove Variable"
"从插件中删除此变量","Removes this variable from the addon"
"移动变量","Move Variable"
"移动此变量","Moves this variable"
"添加变量节点","Add Variable Node Popup"
"弹出窗口 打开一个弹出窗口，让您选择一个变量节点","Opens a popup to let you choose a variable node"
"获取变量","Get Variable"
"设置变量","Set Variable"
"重置变量","Reset Variable"
"添加变量节点","Add Variable Node"
"查找变量","Find Variable"
"在插件中查找此变量","Finds this variable in the addon"
"未找到此变量的节点","No nodes found for this variable"
"空变量节点","Empty Variable Nodes"
"未找到空变量节点","No empty variable nodes found"
"安装包","Install Package"
"让","Let"
"重新加载包","Reload Packages"
"重新加载已安装软件包列表","Reloads the installed packages list"
"卸载软件包","Uninstall Package"
"卸载此软件包","Uninstalls this package"
"安装代码片段","Install Snippet"
"安装单个或 zip 文件的代码片段","Install a single or a zip file of snippets"
"卸载代码片段","Uninstall Snippet"
"卸载此代码片段","Uninstalls this snippet"
"添加代码片段","Add Snippet"
"添加此代码片段节点","Adds this snippets node"
"绘制 导出代码片段弹出窗口","Draw Export Snippet Popup"
"选择可编辑变量：","Select editable variables:"
"选择可编辑属性：","Select editable properties:"
"导出代码片段","Export Snippet"
"将此节点导出为代码片段","Export this node as a snippet"
"代码片段信息","Snippet Info"
"很棒的代码片段！","Awesome snippet!"
"您认为其他人也可以使用这个吗？","Do you think others could use this too?"
"为什么不与 Serpens 社区分享呢？","Why not share it with the Serpens community?"
"将其上传到 #marketplace 频道！","Upload it to the #marketplace channel!"
"清除系统控制台","Clear System Console"
"此操作符清除系统控制台。","This operator clears the system console."
"设置","Settings"
"显示 Python 工具","Show Python Tooltips"
"提示教程","Tutorial"
"混合数据","Blend Data"
"控制台","Console"
"更新！","Update!"
"节点文档","Node Documentation"
"预设","Presets"
"无预设","No presets"
"移除预设","Remove Preset"
"移除此预设","Removes this preset"
"移除预设","Remove Presets"
"移除预设","Remove presets"
"添加预设","Add Preset"
"将活动节点添加为预设","Adds the active node as a preset"
"加载预设","Load Preset"
"加载此预设节点","Loads this preset node"
"获取 Serpens 属性","Get Serpens Property"
"获取 Serpens 运算符","Get Serpens Operator"
"复制上下文","Copy Context"
"复制属性","Copy Property"
"复制此属性的路径复制","Copy the path of this property"
"运算符","Copy Operator"
"复制此运算符的路径复制","Copy the path of this operator"
"此区域的","Copy the context from this area"
"上下文代码片段","Snippets"
"代码片段","Snippet"
"其他","Others"
"插件","Addon"
"保存插件","Save Addon"
"添加到市场","Add to Marketplace"
"保留代码文件","Keep Code File"
"日志编译时间","Log Compile Time"
"Easy BPY ","Easy BPY"
"Easy BPY 已安装","Easy BPY installed"
"打开安装","Open Install"
"Easy BPY 未安装","Easy BPY not installed"
"文档资产添加","Documentation"
"节点","Assets"
"显示","Add Node"
"数据概览","Show Data Overview"
"打开显示数据概览的窗口","Opens a window that shows a data overview"
"退出数据搜索","Exit Data Search"
"退出数据搜索模式","Exits the data search mode"
"扩展数据","Expand Data"
"加载给定项目的项目","Loads the items for the given item"
"扩展运算","Expand Operators"
"符扩展所有运算","Expands all operators"
"符过滤数据","Filter Data"
"过滤此项目数据","Filters this items data"
"按数据类型过滤","Filter by data type"
"重置","Reset"
"重置过滤器","Reset the filters"
"搜索：","Search:"
"重置过滤器","Reset Filters"
"重置这些过滤器","Resets these filters"
"重新加载数据","Reload Data"
"重新加载列出的场景数据","Reloads the listed scene data"
"重置项目过滤器重置此项目的过滤器","Reset Item Filters"
"重新加载","Reset this items filters"
"项目数据","Reload Item Data"
"重新加载此项目数据","Reloads this items data"
"复制数据路径复制数据","Copy Data Path"
"路径以粘贴到节点","Copy data path to paste in a node"
"添加到搜索","Add To Search"
"将此部分添加到搜索","Adds this section to the search"
"首选项导航","Preferences Navigation"
"退出","Exit"
"如何","How to"
"重新加载","Reload"
"发现（测试版）","Discover (BETA)"
"来源：","Source:"
"过滤器概述：","Filter Overview:"
"最大数量","Max Amount"
"过滤器","Filter"
"显示","Display"
"...由于项目太多而缩短","... Shortened because of too many items"
"这些过滤器没有项目！","No Items for these filters!"
"Serpens ","Serpens"
"Serpens 插件","Serpens Addon"
"尽可能使用属性函数代替运算符！","Use property functions instead of operators when possible!"
"打开资源管理器","Open Explorer"
"打开资源管理器","Open the explorer"
"获取 Python 名称","Get Python Name"
"获取此元素的 Python 名称","Get the python name for this element"
"节点树","Node Trees"
"扩展","Extensions"
"获取代码片段","Get Snippets"
"选择有效的运行函数节点以导出代码片段","Select a valid Run Function node to export a snippet"
"选择运行函数节点以导出代码片段","Select Run Function node to export a snippet"
"安装代码片段","Install Snippets"
"没有安装代码片段！","No snippets installed!"
"包通过以下方式","Packages"
"获取包","Get Packages"
"：","By: "
"没有安装包！","No packages installed!"
"重启 blender 以查看包！","Restart blender to see package!"
"属性","Properties"
"注册","Register"
"取消注册","Unregister"
"变量","Variables"
"不要编辑这些设置！","Do not edit these settings!"
" 返回给定 idname 的快捷方式结构"," Returns the shortcut struct for the given idname "
"节点编辑器","Node Editor"
"sn.force_compile ","sn.force_compile"
"sn.open_node_docs ","sn.open_node_docs"
"sn.add_copied_node","sn.add_copied_node"
"打开节点文档","Open Node Docs"
"打开节点文档","Open Node Documentation"
"添加操作员节点","Add Operator Node"
"运行操作员","Run Operator"
"按钮添加","Button"
"复制的","Add Copied Node"
"节点 从复制的路径中为操作员和属性添加节点","Adds a node from the copied path for operators and properties"
"SN_MT_AddOperatorMenu","SN_MT_AddOperatorMenu"
"添加复制的操作员节点","Add Copied Operator Node"
"从复制的路径中为操作员添加","Adds a node from the copied path for operators"
"节点 节点","Node"
"版本","Version"
"此节点的版本","Version of this node"
"禁用评估","Disable Evaluation"
"跳过导出","Skip Export"
" 返回此节点所在的节点树"," Returns the node tree this node lives in "
" 返回此节点的 uid。请注意，这并不稳定，会随着时间而改变！"," Returns a uid for this node. Note that this is not stable and will change over time! "
" 返回此类型节点的集合"," Returns the collection for the nodes of this type "
" 触发所有节点的更新。然后每个节点都可以检查它是否有对此节点的引用，并相应地更新它自己的值"," Triggers an update on all nodes. Every node can then check if it has a reference to this node and update it's own values accordingly "
"静态 UID","Static UID"
" 返回连接到此节点的触发节点"," Returns the trigger nodes that are connected to this node "
" 递归返回链接到给定节点的所有节点的列表"," Recursively returns a list of all nodes linked to the given node "
" 触发对连接到此节点的所有受影响的程序节点的更新。当节点本身的代码发生更改时"," Triggers an update on all affected, program nodes connected to this node. Called when the code of the node itself changes "
" 调用 如果此节点的根节点存在，则"," Compiles the root node of this node if it exists "
" 编译它 检查给定的代码是否与当前代码不同。如果需要，它会触发代码更新"," Checks if the given code is different from the current code. If required it triggers a code update "
"代码","Code"
"此节点的当前编译代码 代码","The current compiled code for this node"
"导入","Code Import"
"此节点的当前编译代码导入","The current compiled code for this nodes imports"
"代码命令式","Code Imperative"
"代码注册此","Code Register"
"节点注册的当前编译代码","The current compiled code for this nodes registrations"
"代码注销","Code Unregister"
"此节点取消注册的当前编译代码","The current compiled code for this nodes unregistrations"
" 如果这是触发节点，则在此节点中包含连接节点的代码"," Includes connected nodes code in this node if this is a trigger node "
" 内部评估以检查是否发生了更改并触发编译过程"," Internal evaluate to check if changes happened and trigger the compile process "
" 如果需要，用于覆盖评估以进行导出 编译"," Used to overwrite evaluate for exporting if required "
"索引","Compile Index"
" 根据 node_color 设置节点的颜色"," Sets the color of the node depending on the node_color "
" 在此节点树的节点集合中为此节点创建一个项目"," Creates an item in the nodes collection of this node tree for this node "
" 从此节点树的引用中删除此节点的引用项"," Removes the reference item for this node from this node trees references "
" 节点图拓扑变化时更新（添加或删除节点和链接）"," Update on node graph topology changes (adding or removing nodes and links) "
" 当具有布局类型的节点连接时更新此节点的布局类型"," Updates the layout type of this node when a node with layout type gets connected "
" 触发动态插座以添加新的插座"," Triggers dynamic sockets to add new ones "
" 当具有布局类型的连接节点被移除时，更新此节点的布局类型"," Updates the layout type of this node when a connected node with layout type gets removed "
" 在节点上逐行绘制此节点的代码"," Draws the code for this node line by line on the node "
"更改顺序后强制编译","Force compile after changing the order"
" 为此节点添加输入。此函数本身不会评估，因为它可能在节点准备就绪之前使用 为此"," Adds an input for this node. This function itself doesn't evaluate as it may be used before the node is ready "
" 节点添加输出。此函数本身不会评估，因为它可能在节点准备就绪之前使用"," Adds an output for this node. This function itself doesn't evaluate as it may be used before the node is ready "
" 将插座从当前类型转换为给定的 idname 根据给定"," Converts the socket from it's current type to the given idname "
" 属性创建输入"," Creates an input from the given property "
"节点名称 字符串","Node Name"
"此","String"
"节点的字符串值","String value of this node"
" 取消注册此插件"," Unregisters this addon "
" 重新注册当前插件代码并存储结果"," Reregisters the current addon code and stores results "
" 返回格式化为单个 python 文件的整个插件代码（用于开发）"," Returns the entire addon code (for development) formatted for a single python file "
" 返回所有节点树中所有触发节点的列表"," Returns a list of all trigger nodes in all node trees "
" 返回此插件的 bl_info"," Returns the bl_info for this addon "
" 以多个文件的字典形式返回整个插件的代码"," Returns the code for the entire addon as a dictionary of multiple files "
"开始教程","Start Tutorial"
"将教程节点添加到节点树","Adds the tutorial node to your node tree"
"结束教程","End Tutorial"
"结束教程","Ends the tutorial"
"移动教程","Move Tutorial"
"更改教程步骤","Changes the tutorial step"
"设置教程","Set Tutorial"
"显示设置","Show Settings"
"显示设置","Show the settings"
"sRGB","sRGB"
"继续！","Keep Going!"
"冒险！！！","ADVENTURE!!!"
"上一个 下一个","Previous"
"图像","Next"
"大小","Image Size"
"大小","Size"
"X ","X"
"Y","Y"
"查看文档","See Docs"
"章节","Chapters"
"清除打印","Clear Prints"
"清除此打印节点消息","Clear this print nodes messages"
"打印","Print"
"在节点上打印 在","Print On Node"
"此节点上显示打印结果","Show print results on this node"
"在删除前一个打印消息之前将添加到此节点的打印消息数量（0 为无限制）","Amount of print messages that will be added to this node before a previous one is removed (0 is unlimited)"
"限制","Limit"
"不打印任何内容！","Nothing printed!"
"消息：","Messages:"
"睡眠","Sleep"
"时间戳","Timestamp"
"开始时间戳记录或打印自开始以来的总时间将此","Start the timestamp recording or print the total time since the start"
"时间戳链接到其他时间戳的标识符","The identifier that links this timestamp to other timestamps"
"颜色","Color"
"此节点的颜色","The color of this node"
"触发节点","Trigger Node"
"触发此节点","Trigger this node"
"触发","Trigger"
"运行 触发","Run Trigger"
"渲染完成","On Render Finish"
"操作时间","Time of Action"
"当你希望事件处理程序运行时在 Blender 上","When you want your event handler to run"
"运行事件","Run Event"
"关闭","On Blender Close"
"atexit.register(before_exit_handler_{self.static_uid}) ","atexit.register(before_exit_handler_{self.static_uid})"
"atexit.unregister(before_exit_handler_{self.static_uid})","atexit.unregister(before_exit_handler_{self.static_uid})"
"在渲染开始时","On Render Start"
"在 Depsgraph 更新时","On Depsgraph Update"
"运行事件代码而不触发事件","Run the event code without triggering event"
"在帧更改时","On Frame Change"
"记录键","Record Key"
"记录下一个按下的键","Records the next pressed key"
"选择","Select"
"在界面中选择此元素","Select this element in the interface"
"选择界面中的元素","Select an element in the interface"
