"空","empty"
"矢量类型矢量的大小数据","Size of this the vector"
"转图标","Data To Icon"
"要预览的","Type of data to preview"
"数据类型定义数据","Define Data Type"
"类型要将数据输入设置为的数据类型","The type of data that you want to set the data input to"
"枚举设置为列表","Enum Set To List"
"转换弧度/角度","Convert Radians/Degrees"
"弧度","Radians"
"角度","Degrees"
"要查看的区域","Region To View"
"拆分矢量","Split Vector"
"视图转区域","View To Region"
"连接路径","Join Path"
"列表混合文件内容","List Blend File Content"
"列表目录文件","List Directory Files"
"与路径","With Path"
"返回完整路径列表，而不仅仅是文件和目录名称","Returns a list of full paths instead of just the file and directory names"
"使路径成为绝对","Make Path Absolute"
"路径信息限制","Path Info"
"数学","Clamp"
"四舍五入","Math"
"矢量","Round Number"
"数学","Vector Math"
"要开始的操作","The operation you want to commence"
"新随机","New Random"
"显示一个新的随机项目","Shows you a new random item"
"LoFi","LoFi"
"此节点纯粹是为了您的娱乐！","This node is purely for your enjoyment!"
"祝您有美好的一天并享受音乐！","Have a really nice day and enjoy the music!"
"合并字符串","Combine Strings"
"解码字节字符串","Decode Byte String"
"编码字节","Encode Byte String"
"字符串 子字符串在字符串中","Substring is in String"
"连接字符串","Join Strings"
"从","From"
"要映射的值","The value from which to map"
"到 要","To"
"映射到的值","The value to which to map"
"映射字符串","Map Strings"
"填充字符串","Pad String"
"在字符串中替换","Replace in String"
"字符串切片","Slice String"
"拆分字符串","Split String"
"字符串长度","String Length"
"向此节点添加一个项目","Adds an item to this node"
"移除项目","Remove Item"
"从此节点移除一个项目 剥离字符串 要剥离的","Removes an item from this node"
"字符串","Strip String"
"两侧","Sides of the string to strip"
"更改变量","Change Variable By"
"对输入数据执行的操作","Operation to perform with the input data"
"不是字符串、整数或浮点变量！","Not a string, integer or float variable!"
"切换变量","Toggle Variable"
"不是布尔变量！","Not a boolean variable!"
"添加到列表","Add To List"
"方法","Method"
"将项目添加到列表的方法","Method to add the item to the list"
"不是列表变量！","Not a list variable!"
"索引列表","Index List"
"列表元素的索引","Index Of List Element"
"列表中的元素","Element In List"
"列表长度","List Length"
"从列表中移除","Remove From List"
"元素","Element"
"如何找到要删除的元素","How to find the element to delete"
"排序列表","Sort List"
"布局","Layout"
"框架","Frame"
"重新","Reroute"
"路由 导出插件","Export Addon"
"将此插件导出到可安装的 zip 文件","Exports this addon to an installable zip file"
"文件路径","File Path"
"用于导出文件的文件路径","Filepath used for exporting the file"
" 如果需要，将 easybpy 文件添加到插件"," Adds the easybpy file to the addon if needed "
" 将插件资产添加到文件夹"," Adds the addon assets to the folder "
" 将图标添加到文件夹"," Adds the icons to the folder "
" 创建索引文件"," Creates the index file "
" 在文件夹结构中创建插件文件"," Creates the addon files in the folder structure "
" 在给定的文件路径下设置插件文件夹结构"," Sets up the addons folder structure at the given filepath "
" 压缩给定的路径"," Zips the given path "
"此图表类别的名称","The name of this graph category"
"添加图表类别","Add Graph Category"
"添加图表类别","Adds a graph category"
"删除图表类别","Remove Graph Category"
"删除图表类别","Removes a graph category"
"编辑图表类别","Edit Graph Categories"
"编辑插件图表类别","Edit the addon graph categories"
"移动图表类别","Move Graph Category"
"将选定的图表移动到其他类别","Move the selected graph to a different category"
"添加节点树","Add Node Tree"
"向插件添加","Adds a node tree to the addon"
"节点树 删除节点树","Remove Node Tree"
"从插件中移除此节点树","Removes this node tree from the addon"
"附加节点树","Append Node Tree"
"将另一个文件中的节点树附加到此插件","Appends a node tree from another file to this addon"
"从插件中附加此节点树","Appends this node tree from the addon"
" 返回可在选定文件中找到的所有节点树"," Returns all node trees that can be found in the selected file "
"要导入的节点树","Node Tree to import"
"在此混合文件中未找到节点树","No Node Trees found in this blend file"
"对于大型插件，这可能会很慢！","This might be slow for large addons!"
"强制所有节点树编译","Forces all node trees to compile"
"强制取消注册","Force Unregister"
"强制所有节点树取消注册","Forces all node trees to unregister"
"移动节点树","Move Node Tree"
"在列表中移动此节点","Moves this node tree in the list"
"树 复制命令","Copy Command"
"复制命令以在 discord 服务器中发布","Copies the command to post in the discord server"
"导出插件到市场","Export Addon To Marketplace"
"将活动节点树导出到市场","Exports the active node tree to the marketplace"
"插件 URL","Addon URL"
"在此处输入插件的 URL","Enter the url to your addon here"
"插件价格","Addon Price"
"在此处输入插件的价格","Enter the price of your addon here"
"上传类型","Upload Type"
"如果您认为您的插件对其他人有趣，您可以分享它！","If you think your addon is interesting to others you can share it!"
"步骤 1 ","Step 1"
"    • 设置您的插件名称、说明、版本…… ","    • Set your addons name, description, version, ..."
"    • 如果要更新插件，请使用相同的名称","    • If you want to update an addon use the same name"
"    • 选择是否要将混合文件与节点树一起上传","    • Select if you want to upload your blend file with the node tree"
"上传混合文件","Upload blend file"
"步骤 2 ","Step 2"
"    • 进入 discord 上的 #marketplace 频道并发布以下内容：","    • Go in the #marketplace channel on discord and post the following:"
"单击复制！","Click To Copy!"
"    • 系统将要求您上传您的插件。导出它并执行此操作。","    • You will be asked to upload your addon. Export it and do so."
"    • 在此处粘贴插件的链接：","    • Paste the link to your addon in here:"
"    • 在此处输入插件的价格：","    • Enter the price of your addon here:"
"步骤 3 ","Step 3"
"UID","UID"
"属于此引用的节点的 static_uid","The static_uid of the node that belongs to this reference"
"此引用所属的节点的名称","The name of the node this reference belongs to"
"此集合中节点的 idname引用","The idname of the nodes in this collection"
"对此类型节点的引用","References"
"删除","References to the nodes of this type"
" 与节点不匹配的所有引用"," Removes all references that don't match a node "
" 确保所有引用名称与节点名称匹配"," Makes sure all ref names match the node names "
" 返回此集合的所有节点"," Returns all the nodes for this collection "
"可视化脚本编辑器","Visual Scripting Editor"
"此节点树在节点树列表中的索引","The index of this node tree in the node tree list"
"此节点树的变量 变量","The variables of this node tree"
"索引","Variable Index"
"所选变量的","Index of the selected variable"
"索引 节点引用","Node References"
"显示调试","Show Debug"
"在调试面板中显示节点树数据","Show node tree data in the debug panel"
"返回此节点树中给定节点 idname refs 的集合 将给","Returns the collection for the given node idname refs in this node trees"
"定的链接映射到来自套接字、到套接字和链接本身的元组","Maps the given link to a tuple of the from socket, to socket and the link itself"
"检查给定套接字之间的连接是否有效","Check if a connection between the given sockets would be valid"
"检查给定的链接是否有效","Checks if the given link is valid"
"为所有链接插入定义数据节点 无效链接","Inserts define data nodes for all links invalid links"
"仅在此处执行视觉方面，因为这是在评估节点后运行的","Only do visual aspects in here as this is run after evaluating the nodes"
"强制受影响的节点进行更新，具体取决于它是程序还是数据套接字","Forces the affected nodes to update depending on if it's a program or data socket"
"对所有新链接调用 link_insert","Calls link_insert for all new links"
"对所有已删除的链接调用 link_remove","Calls link_remove for all removed links"
"触发对给定链接数据输出和程序输入的更新以更新受影响的程序","Triggers an update on the given links data outputs and program inputs to update the affected program"
"触发对给定链接数据输入和程序输出的更新以更新受影响的程序 查找","Triggers an update on the given links data inputs and program outputs to update the affected program"
"所有更改的节点链接并更新连接 更新","Finds all changed node links and updates the connections"
"此节点树中重新路由的所有输入并显示形状 重新","Updates all inputs and display shapes of the reroutes in this node tree"
"评估此节点树中的所有节点","Reevaluates all nodes in this node tree"
"查找引用节点","Find Referencing Nodes"
"查找引用此节点的所有节点","Find all nodes that reference this node"
"未找到引用","No references found"
"将引用的节点添加到节点树","Adds the referenced node to the node tree"
"ID 名称","ID Name"
"属性","Attribute"
"套接字名称","Socket Name"
"此套接字的名称","Name of this socket"
"动态","Dynamic"
"此套接字在连接时是否添加了另一个套接字","If this socket adds another socket when connected"
"以前是动态的","Previously Dynamic"
"转换数据","Convert Data"
"将传入数据转换为此套接字类型","Convert the incoming data to this sockets type"
"已","Disabled"
"禁用 为此节点禁用此套接字","Disable this socket for this node"
"可以隐藏","Can Be Hidden"
"此套接字的子类型","The subtype of this socket"
"设置此套接字的隐藏值，如果隐藏，则断开所有链接 可","Sets the hide value of this socket and disconnects all links if hidden"
"索引","Indexable"
"此套接字用来索引属性的索引类型","The type of index this socket indexes the property with"
"可更改","Changeable"
"如果此数据套接字类型可以更改","If this data socket type can be changed"
"此套接字现在的类型","The type this socket has right now"
"是变量","Is Variable"
"如果此套接字是可以重命名的变量套接字","If this socket is a variable socket that can be renamed"
"绘制可移除套接字的运算符","Draws the operators for removable sockets"
"绘制动态套接字的","Draws the operators for dynamic sockets"
"运算符 绘制以前动态套接字的运算符","Draws the operators for previously dynamic sockets"
"绘制此套接字","Draws this socket"
"根据 get_color 函数和此套接字的状态绘制此节点的颜色","Draws the color of this node based on the get_color function and the status of this socket"
"将此套接字的 Python 值重置为默认值","Resets this sockets python value back to the default"
"返回此套接字","Returns the python value for this socket"
"的 Python 值 如果此套接字的 Python 值已更改，则设置它并触发更新","Sets the python value of this socket if it has changed and triggers an update"
"根据此套接字的类型触发节点评估","Triggers node evaluation depending on the type of this socket"
"Python 值","Python Value"
"此套接字值的 Python 表示","Python representation of this sockets value"
"形式 返回此套接字的当前值","Returns the current value of this socket"
"根据当前子类型设置默认值，并更新 python 值","Sets the default value depending on the current subtype and updates the python value"
"更新子类型属性的函数以强制更新节点","Update function for the subtype properties to force an update on the node"
"触发对已连接套接字的更新，包括数据和程序套接字。用于假装此节点的数据已改变","Triggers an update to the connected sockets, for both data and program sockets. Used to pretend the data of this node changed"
"递归返回连接到给定输出的输入，跳过重新路由","Recursively returns the inputs connected to the given output, skipping over reroutes"
"返回连接到此输出的所有输入，跳过重新路由","Returns all inputs connected to this output, skipping over reroutes"
"返回此输入来自的插槽，跳过重新路由","Returns the socket this input comes from skipping over reroutes"
"返回此插槽在节点上的索引，如果找不到则返回 -1 在","Returns the index of this socket on the node or -1 if it can't be found"
"其后添加另一个类似的插槽，并将其自身转变为普通插槽","Adds another socket like this one after itself and turns itself into a normal socket"
"此布尔向量的","Size of this boolean vector"
"大小 大小 可编辑","Size Editable"
"集合属性","Collection Property"
"枚举可编辑自定义","Enum"
"项目","Editable Custom Items"
"让您编辑自定义项目","Lets you edit the custom items"
"此插槽的字符串","Stringified items for this socket"
"化项目编辑","Edit Enum Items"
"枚举项目 编辑此插槽的","Edit the enum items of this socket"
"枚举项目 向此插槽添加枚举","Adds an enum item to this socket"
"项目 从此插槽中移除此枚举项目","Removes this enum item from this socket"
"移动项目 将此","Move Item"
"枚举项目移动到此插槽","Moves this enum item in this socket"
"执行","Execute"
"此浮点向量的大小","Size of this float vector"
"default_value","default_value"
"此整数向量的大小","Size of this integer vector"
"接口","Interface"
"之前传递节点的布局类型","Pass through layout type of the node before"
"传递布局类型","Pass Through Layout Type"
"添加动态插槽","Add Dynamic Socket"
"添加另一个类似的插槽","Add another socket like this one"
"移除插槽","Remove Socket"
"移除此插槽","Removes this socket"
"设置图标","Set Icon"
"设置此图标","Sets this icon"
"选择图标","Select Icon"
"显示所有搅拌机图标的选择","Shows you a selection of all blender icons"
"搜索","Search"
"潜在错误警告！","Potential Error Warning!"
"你","You"
"导航","Navigation"
"市场导航","Marketplace Navigation"
"检查更新 加载","Check For Updates"
"插件时在线检查更新","Check for updates online when loading the addon"
"使用彩色节点 将","Use Colored Nodes"
"节点颜色与类别相匹配。 不适用于现有节点","Color nodes to match their category. Does not apply to existing nodes"
"保留错误文件","Keep Error File"
"保留任何引发错误的编译文件的副本","Keeps a copy of any compiled file that threw an error as "
"搜索已加载的插件","Search through the loaded addons"
"搜索已加载的软件包","Search through the loaded packages"
"搜索已加载的片段","Search through the loaded snippets"
"仅限 Serpens 3","Only Serpens 3"
"隐藏以前 serpens 版本的所有结果","Hide all results from previous serpens versions"
"预设节点","Preset nodes"
"强制编译","Force Compile"
"节点文档","Node Docs"
"从复制的 Blender 添加节点","Add Node From Copied"
"：","Blender: "
"插件：","Addon: "
"加载软件包","Load Packages"
"加载片段","Load Snippets"
"加载插件","Load Addons"
"没有找到结果！","No results found!"
"这将显示在您的首选项中：","This will be shown in your preferences:"
"您的插件中没有添加首选项节点。","No preferences node added to your addon."
"编译时间","Compile Time"
"插件编译所花费的时间","Time the addon took to compile"
"暂停重新注册","Pause Reregistering"
"在进行更改时暂停重新注册插件","Pauses reregistering the addon when changes are made"
"变量 可自定义","Variables Customizable"
"保存代码片段变量的可自定义设置","Saves customizable setting of snippet variables"
"属性 可自定义","Properties Customizable"
"保存代码片段属性的可自定义设置","Saves customizable setting of snippet properties"
"正在导出","Is Exporting"
"保存导出的当前状态以对节点进行不同的评估","Saves the current status of exporting to evaluate nodes differently"
"选择器是否活动","Picker Is Active"
"当面板或类似设备的位置选择器处于活动状态时启用此功能","This is enabled when a location picker for panels or similar is active"
"上次复制的","Last Copied Data Type"
"数据类型 上次使用复制属性按钮","The type of data last copied with the copy property button"
"复制的数据类型 上次复制","Last Copied Data Path"
"的数据路径 上次使用复制属性按钮","The path of data last copied with the copy property button"
"复制的数据路径 上次复制的必需属性","Last Copied Required Properties"
"上次复制的必需属性的标识符，以；分隔","The identifiers of the last copied required properties separated by ;"
"显示换行设置","Show Wrap Settings"
"如果启用此选项，则会显示这些面板中文本的换行设置。","If this is enabled, the wrapping settings for the text in these panels are show."
"换行","Line Wrap"
"面板中一行显示的字符数。","The amount of characters shown in a single line in the panel."
"有更新","Has Update"
"Serpens 是否有可用的更新。这是在文件加载时设置的。","If Serpens has an available update or not. This is set on file load."
"调试节点","Debug Nodes"
"调试内部节点代码","Debug internal node code"
"调试套接字","Debug Sockets"
"调试内部套接字","Debug internal socket code"
"代码 仅","Debug Selected Only"
"调试选定节点","Debug only selected nodes"
"保留代码","Keep Code"
"当代码更改时在文本编辑器中保留一个 python 文件","Keeps a python file in the text editor when the code changes"
"调试属性","Debug Properties"
"调试内部属性代码","Debug internal property code"
"调试编译时间","Debug Compile Time"
"打印编译代码所需的时间","Prints the time it takes to compile the code"
"插入套接字按钮","Insert Socket Buttons"
"在动态套接字上显示插入按钮以在上面插入新套接字 加载时","Show an insert button on dynamic sockets to insert a new socket above"
"编译 在加载","Compile On Load"
"文件时编译此插件","Compile this addon when the file is loaded"
"简易 BPY 路径","Easy BPY Path"
"在加载文件时设置。设置为 easy bpy 文件路径。","Gets set when a file is loaded. Set to the easy bpy file path."
"活动节点树","Active Node Tree"
"您的节点树","The node tree you"
"活动","Active Property"
"属性 您的属性","The property you"
"显示属性类别","Show Property Categories"
"显示您的插件属性的","Show categories for your addon properties"
"类别 显示的属性 活动","The properties shown"
"资产","Active Asset"
"您的资产","The asset you"
"插件名称","Addon Name"
"插件的名称 插件","The name of the addon"
"的描述","The description of the addon"
"作者","Author"
"此插件的作者","The author of this addon"
"最低 Blender","Minimum Blender"
"此插件所需的最低 Blender 版本","Minimum blender version required for this addon"
"位置","Location"
"描述可以找到插件功能的位置","Describes where the addons functionality can be found"
"警告","Warning"
"如果存在用户应该注意的错误或问题，则使用","Used if there is a bug or a problem that the user should be aware of"
"文档 URL","Doc URL"
"插件文档的 URL","URL to the addons documentation"
"跟踪器 URL","Tracker URL"
"插件错误跟踪器的 URL 插件","URL to the addons bug tracker"
"将显示的类别","The category the addon will be displayed in"
"自定义类别","Custom Category"
"您的自定义类别","Your custom category"
"重新加载类别的基本数据","Reloads the basic data for a category"
"设置过滤运算符","Sets the filtered operators"
"获取类别的运算符","Gets the operators for a category"
"重新加载操作符列表","Reloads the list of operators"
"加载 bpy 类别的数据","Loads the data for the bpy categories"
"隐藏首选项","Hide Preferences"
"隐藏首选项窗口中的所有面板","Hides all panels in the preferences window"
"全局搜索","Global Search"
"如果全局搜索处于活动状态，则","If the global search is active"
"搜索全局搜索中的项目（用逗号分隔多个查询）","Searches for items in the global search (Separate multiple queries with commas)"
"显示","Show Amount"
"数量 在发现选项卡中显示的项目数量","The amount of items to show in the discover tab"
"仅完全匹配 仅","Full Matches Only"
"显示与完整搜索匹配的","Only show items that match the full search"
"项目 混合数据的类别","Category of blend data"
"搜索数据","Search data"
"显示路径","Show Path"
"显示属性的 python 路径","Show python path of properties"
"显示","Show Graph Categories"
"图表类别显示","Show categories for your addon graphs"
"插件图表的类别显示的图表","The graphs shown"
"覆盖变量图","Overwrite Variable Graph"
"变量","Variable Graph"
"图显示变量的","Graph to display variables from"
"图表删除重复代码","Remove Duplicate Code"
"删除生成的代码中的重复代码（对大型插件的性能影响很小）","Removes duplicate code in the generated code (small performance impact for large addons)"
"格式化代码","Format Code"
"格式化生成的代码中的换行符（对大型插件的性能影响很小）","Formats linebreaks in the generated code (small performance impact for large addons)"
"监视脚本变化","Watch Script Changes"
"将监视运行脚本节点的脚本中的变化，并在保存文件时重新编译插件","Will watch for changes in the scripts of your run script nodes and recompile the addon when you save the file"
"多文件","Multifile"
"将单独的节点树导出为单独的 python 文件","Export the separate node trees as separate python files"
" 删除所有无效的属性"," Removes all attributes that aren't valid "
" 将给定的数据转换为字典，其中包含路径部分和数据的键"," Converts the given data to a dictionary with keys for the path section and the data "
" 返回给定数据、其路径和数据属性"," Returns a data object for the given data its path and the datas attribute "
" 根据给定的属性名称返回名称"," Returns a name based on the given attribute name "
" 返回给定数据的项目类型"," Returns the item type for the given data "
" 返回给定函数的特殊参数"," Returns the special parameters for the given function "
" 返回给定函数的特殊输出"," Returns the special outputs for the given function "
" 返回给定函数的特殊必需参数返回"," Returns the special required parameters for the given function "
" 带有函数参数的字典返回用"," Returns a dictionary with function parameters "
" ; 分隔的字符串，其中包含必需的函数参数"," Returns a string separated by ; with the required function parameters "
" 返回给定路径的数据中的项目。适用于 bpy.xyz 以上的任何内容"," Returns the item in the data for the given path. Works for anything above bpy.xyz "
" 获取 blender python 数据路径并将其转换为 json 路径部分"," Takes a blender python data path and converts it to json path sections "
" 获取 blender python 数据路径并将其转换为索引路径部分"," Takes a blender python data path and converts it to indexed path sections "
" 返回连接到有效数据路径的给定部分"," Returns the given sections joined to a valid data path "
"从市场加载插件","Loads the addons from the marketplace"
"从市场","Loads the packages from the marketplace"
"加载软件包从市场加载片段","Loads the snippets from the marketplace"
"此预设节点的名称","Name of this preset node"
"Idname","Idname"
"此节点的 idname","The idname of this node"
"用于重新创建此节点的字符串化 json 数据","The stringified json data used to recreate this node"
"- - - - - - - - - - - - - - - - -","-  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -"
"更新消息","Update Message"
"Serpens 更新可用！","Serpens Update available!"
"免费更新已发布。","A free update is out."
"您现在就可以去下载！","You can go and download it right now!"
"本次更新包括：","This update includes:"
"  •","  • "