"编辑 Fluent 对象","Edit a Fluent object"
"Fluent 编辑器","Fluent editor"
"BOTH ","BOTH"
"TOP ","TOP"
"BOTTOM ","BOTTOM"
".f_Pre_Second_Bevel ",".f_Pre_Second_Bevel"
"bottom_face ","bottom_face"
"first_bevel。","first_bevel."
"Circular_Array","Circular_Array"
"几何半径","Geometry"
"计数","Radius"
"角度","Count"
"单独","Angle"
"旋转","Individual Rotation"
"全局旋转","Global rotation"
"X 尺寸","X size"
"Y 尺寸","Y size"
"单独 XYZ","Separate XYZ"
"矢量数学","Vector Math"
"边界框数学","Bounding Box"
".001","Math.001"
"组合 XYZ","Combine XYZ"
"数学","Math"
"组输出","Group Output"
"变换","Transform"
"组输入","Group Input"
"比例","Scale"
"旋转","Rotation"
"top_face ","top_face"
"Fluent cutter","Fluent cutter"
"切割/添加","Cut/Add"
"切割","Cut"
"切片","Slice"
"插入","Inset"
"创建","Creation"
"两个对象之间的布尔运算","Boolean operation between 2 objects"
"布尔","Boolean"
"显示/隐藏布尔对象","Show/Hide boolean objects"
"布尔可见性","Boolean visibility"
"添加最新的斜面","Add the latest bevel"
"显示/隐藏线框 + 布尔对象","Show/Hide wireframe + boolean objects"
"技术显示","Technical display"
"显示/隐藏线框","Show/Hide wireframe"
"线框显示","Wireframe display"
"自动完成","Autocomplete"
"from_normal_repair","from_normal_repair"
"正常修复","Normal Repair"
"_normalSource ","_normalSource"
"NormalRepair ","NormalRepair"
".f_weld_normal_repair",".f_weld_normal_repair"
"布尔实例","Boolean Instance"
"同步 Fluent 复制的布尔对象重复功能","Synchronize boolean objects duplicated by Fluent duplicate function"
"布尔","Boolean Synchronization"
"同步从每个顶点组中删除选定的顶点","Remove selected vertices from each vertex groups"
"VG 清洁器","VG Cleaner"
"切换斜面的循环滑动选项","Toggle the bevel's loop slide option"
"切换循环滑动","Toggle Loop Slide"
"成为 Fluent ","Become Fluent"
"call_from","call_from"
"抽取","Decimate"
"面提取","Face extraction"
"选项","Options"
"其他调整","Other adjustments"
"从中心","Draw array from the center"
"绘制数组居中数组","Centered array"
"自动镜像 X","Auto Mirror X"
"自动镜像 Y","Auto Mirror Y"
"自动镜像 Z","Auto Mirror Z"
"使用循环滑动选项","Use the loop slide option"
"循环幻灯片","Loop Slide"
"0 = 自动","0 = automatic"
"外斜面段","Outer bevel segments"
"斜面轮廓","Bevel profile"
"斜面、圆柱体和球体的分辨率（段/米）","Resolution of bevels, cylinders and spheres (segments/m)"
"模型分辨率","Model resolution"
"增加/减少所选对象的斜面大小","Increase/decrease the bevel size of selected object"
"斜面因子","Bevel factor"
"斜面的最小分辨率（段/米）。0 = 自动","Minimum resolution of bevels (segments/m). 0 = automatic"
"自动斜面的段数","Min. of segments for auto-bevel"
"最小值 圆柱体和球体的最小分辨率（段/米）。0 = 自动","Minimum resolution of cylinders and spheres (segments/m). 0 = automatic"
"自动圆柱体的段数最小值","Min. of segments for auto-cylinder"
"看着你的物体成长！","See your object growing !"
"动画生成器","Animation builder"
"动画布料","Animate cloth"
"移除切片中的不可见面 切片","Remove invisible faces in slice cuts"
"清洁器","Slice cleaner"
"菜单类型 菜单","Type of menu"
"类型","Menu type"
"UI 字体大小","UI font size"
"字体大小","Font size"
"图标","Size of icons"
"大小 图标大小","Icon size"
"默认斜面宽度","Default Bevel Width"
"斜面的最小分辨率（段/米）","Minimum resolution of bevels (segments/m)"
"自动斜面的段数最小值","Minimum of segments for auto-bevel"
"圆柱体和球体的最小分辨率（段/米）","Minimum resolution of cylinders and spheres (segments/m)"
"自动分辨率的最小段数","Minimum of segments for auto-resolution"
"最新斜面宽度","Latest Bevel Width"
"按住左键单击以保持菜单可见，然后释放悬停按钮以使用它。","Hold left click to keep menu visible then release hover a button to use it."
"按住单击显示菜单（取消选择以使用单击）","Hold click to display menu (uncheck to use single click)"
"使用 alt 调用 Fluent","Use alt to call Fluent"
"使用 ctrl 调用 Fluent","Use ctrl to call Fluent"
"使用 shift 调用 Fluent","Use shift to call Fluent"
"使用 alt 调用 Fluent 剪切","Use alt to call Fluent cut"
"fluent_cut_shortcut_alt","fluent_cut_shortcut_alt"
"使用 ctrl 调用 Fluent 剪切","Use ctrl to call Fluent cut"
"fluent_cut_shortcut_ctrl","fluent_cut_shortcut_ctrl"
"使用 shift 调用 Fluent 剪切","Use shift to call Fluent cut"
"fluent_cut_shortcut_shift","fluent_cut_shortcut_shift"
"使用 alt 调用 Fluent 切片","Use alt to call Fluent slice"
"fluent_slice_shortcut_alt","fluent_slice_shortcut_alt"
"使用 ctrl 调用 Fluent 切片","Use ctrl to call Fluent slice"
"fluent_slice_shortcut_ctrl","fluent_slice_shortcut_ctrl"
"使用 shift 调用 Fluent 切片","Use shift to call Fluent slice"
"fluent_slice_shortcut_shift","fluent_slice_shortcut_shift"
"使用 alt 调用Fluent 编辑","Use alt to call Fluent edit"
"fluent_edit_shortcut_alt","fluent_edit_shortcut_alt"
"使用 ctrl 调用 Fluent 编辑","Use ctrl to call Fluent edit"
"fluent_edit_shortcut_ctrl","fluent_edit_shortcut_ctrl"
"使用 shift 调用 Fluent 编辑","Use shift to call Fluent edit"
"fluent_edit_shortcut_shift ","fluent_edit_shortcut_shift"
"auto_hide_bool","auto_hide_bool"
"创建后隐藏布尔对象","Hide boolean object after creation"
"auto_parent","auto_parent"
"布尔对象与其目标之间的自动父级","Auto parent between the boolean object and his target"
"需要更新","need updating"
"need_updating","need_updating"
"上一个版本 上","last version"
"一个版本","last_version"
"背景文本的颜色","Color of background text"
"活动背景文本的","Color of active background text"
"颜色 菜单叠加","Color of menu overlay"
"颜色 高亮文本的","Color of hightlight text"
"颜色 高亮点的颜色","Color of hightlight dots"
"使用夹紧重叠斜面选项","Use the clamp overlap bevel option"
"夹紧重叠","Clamp overlap"
"捕捉网格平面的颜色","Color of snap grid plane"
"在新建和剪切对象上自动添加","Automatically add a bevel on new and cut object"
"斜面 自动添加斜面","Automatic bevel addition"
"即时网格 可执行文件","Instant Meshes Executable"
"显示 Fluent 面板","Show the Fluent panel"
"Fluent 面板","Fluent panel"
"在饼形菜单中显示 Power Trip 工具","Show the Power Trip tool in the pie menu"
"饼形菜单中的 PT 在饼形菜单中","PT in the pie menu"
"显示工具箱 饼形菜单中的","Show the toolbox in the pie menu"
"工具箱 在饼形菜单","Toolbox in the pie menu"
"中显示其他调整按钮 饼","Show the other adjustment button in the pie menu"
"形菜单中的其他调整按钮","Other adjustment button in the pie menu"
"在 Shift+A 菜单中添加 Fluent 基元","Add Fluent primitive in Shift+A menu"
"显示 Fluent 基元菜单 面","Show Fluent primitive menu"
"数 布料","Number of face"
"分辨率","Cloth resolution"
"收缩","Shrink"
"布料收缩","Cloth shrink"
"压力","Pressure"
"布料压力","Cloth pressure"
"应用模拟","Apply the simulation"
"冻结","Freeze"
"对选定的面重新网格化","Remesh the selected faces"
"重新","Remesh"
"网格化 重新网格化","Remesh the simulation"
"模拟 模拟后重新网格化","Remesh after simulation"
"使用三角网格 三角","Use a triangulate mesh"
"剖分","Triangulate"
"布料对压力的","How much the cloth resist to the pressure"
"抵抗程度 刚度","Stiffness"
"模拟持续时间。","Simulation duration."
"结束帧","End frame"
"选择重新网格化工具","Select the remesh tool"
"选择拓扑类型","Select the type of topology"
"按面划分的一个面板","One panel by faces"
"按面分隔","Separate by faces"
"自碰撞","Self collision"
"收集","gathering"
"从边界边使用的边环数用作针组","Number of edge loop from boundary edge use as pin group"
"针环","Pin loop"
"更改后，保存首选项并重新启动 Blender。","After change, save your preferences and restart Blender."
"--- 默认值 --- ","--- Default value ---"
"--- 显示 ---","--- Display ---"
"显示面板","Show the panel"
"语言","Language "
"翻译正在进行中。 整个文本不是","Translation is in progress. Whole text isn"
"突出显示文本","Highlight text"
"突出显示点","Highlight dots"
"捕捉网格平面","Snap grid plane"
"捕捉网格点","Snap grid dots"
"--- 行为 ---","--- Behavior ---"
"斜角系统","Bevel system"
"关闭 Fluent 时隐藏布尔对象。","Hide boolean object when Fluent is closed."
"布尔对象与其目标之间的自动父级。","Auto parent between the boolean object and his target."
"要使用布料面板工具，您必须选择并安装重新网格化工具。","To use the cloth panel tool, you have to select and install a remesher tool."
"要使用布料面板，请为您的操作系统下载 Instant Mesh。","To use the cloth panel, download Instant Mesh for your OS."
"然后在下面的输入中设置可执行文件的路径。","Then set the path of the executable file in the input below."
"即时网格文件","Instant mesh file"
"在此处下载即时网格","Download Instant Mesh here"
"在使用布料面板工具之前，请检查 QuadRemesher 的安装和激活情况。","Check the installation and activation of QuadRemesher before to use the cloth panel tool."
"3D 视图","3D View"
"恢复键盘映射","Restore keymap"
"恢复热键","Restore hotkeys"
"添加 Fluent 基本体","Add Fluent primitive"
"基本体名称","primitive name"
"Fluent 基本体","Fluent primitives"
"F 立方体","F Cube"
"F 圆柱体","F Cylinder"
"F 球体","F Sphere"
"Fluent 基本体","Fluent Primitives"
"最新斜面宽度","Latest bevel width"
"最新斜面宽度的全局因子","Global factor of width of the latest bevel"
"最新斜面 全局","Latest Bevel Global"
"默认第一个斜面宽度","Default first bevel width"
"默认斜面宽度最新","Default bevel width"
"斜面的","Segments of latestest bevel"
"段 段","Segments"
"最新斜面的极限角度 极限","Limit angle of the latest bevel"
"角度","Limit angle"
"最新斜面段","Latest Bevel Segments"
"默认深度","Default Depth"
"固化偏移","solidify offset"
"solidify_offset","solidify_offset"
"默认棱镜段","Default Prism Segment"
"斜面分辨率","Bevel Resolution"
"斜面分辨率","Bevel resolution"
"默认球体段","Default sphere Segment"
"球体段","Sphere segements"
"X ","X"
"Y ","Y"
"Z","Z"
"直","straight_bevel"
"斜面 第二斜面宽度","second_bevel_width"
"第二斜面直","second_bevel_straight"
"网格大小","grid size"
"网格大小","Grid Size"
"最后使用的工具","last toole used"
"最后工具","last_tool"
"板斜面宽度 板","plate bevel width"
"斜面宽度","plate_bevel_width"
"头部螺钉比例","Head screw scale"
"螺钉比例","screw_scale"
"头部螺钉偏移","Head screw offset"
"螺钉偏移","screw_offset"
"动画速度","Animation speed"
"对齐视图","Align view"
"删除未使用的布尔对象","Remove unused boolean objects"
"Fluent - 删除未使用的布尔对象","Fluent - Remove unused boolean objects"
"应用于布尔","Apply to boolean"
"布尔支持创建","Boolean support creation"
"相交","intersect"
"镜像所有刀具","Mirror all cutters"
"{item.name} ","{item.name}"
"{node.name}","{node.name}"
"宽度","Width"
"高度","Height"
"半径 链接","Radius link"
"对象","Object"
"切换","Switch"
"材质","Material"
"四边形","Quadrilateral"
"圆角曲线","Fillet Curve"
"曲线到网格","Curve to Mesh"
"按距离合并","Merge by Distance"
"网格到曲线","Mesh to Curve"
"曲线到网格.001","Curve to Mesh.001"
"曲线圆","Curve Circle"
"设置材质","Set Material"
"对象信息","Object Info"
"变换几何重","Transform Geometry"
"采样曲线","Resample Curve"
"实例点","Instance on Points"
"实现实例","Realize Instances"
"旋转旋转","Rotate Rotation"
"将欧拉对齐到向量","Align Euler to Vector"
"曲线切线","Curve Tangent"
"索引","Index"
"Math.002 ","Math.002"
"Math.003","Math.003"
"随机值","Random Value"
"将面变成布料","Turn faces into cloth"
"流畅的布料面板","Fluent cloth panel"
"细分","Subdivision"
"置换","Displace"
"布料","Cloth"
"校正平滑","Corrective Smooth"
"针","pin"
"碰撞","Collision"
"F_cloth_panel_wait_retopo ","F_cloth_panel_wait_retopo"
"Retopo_","Retopo_"
"布料设置","Cloth settings"
"拓扑","Topology"
"面数","Face count"
"聚集","Gathering"
"下载链接即时网格","Link to download Instant Mesh"
"下载即时网格","Download Instant Mesh"
"放置网格","Place a grid"
"菱形网格圆","Grid_Diamond"
"交错网格圆六角网格","Grid_Circle_Staggered"
"三角形网格","Grid_Circle"
"三角","Grid_Hex"
"网格Alpha网格","Grid_Triangle"
"Beta网","Grid_Delta"
"格Gamma","Grid_Alpha"
"网格Omega","Grid_Beta"
"网格Sigma正方形网格","Grid_Gamma"
"Epsilon ","Grid_Omega"
"Zeta.002 ","Grid_Sigma"
"Zeta.003","Grid_Square"
"网","Grid_Epsilon"
"格","Zeta.002"
"Zeta","Zeta.003"
"网格","Grid_Zeta"
"Eta","Grid_Eta"
"电源跳闸","Power Trip"
"板","Plate"
"网格","Grid"
"螺丝","Screws"
"电线","Wire"
"管","Pipe"
"布料面板","Cloth panel"
"放置管道","Put a pipe"
"流畅管道","Fluent pipe"
"fluent_pipe ","fluent_pipe"
".f_geometry_nodes",".f_geometry_nodes"
"斜面","BEVEL"
"f_ring_01 ","f_ring_01"
"f_duct","f_duct"
"将面变成板","Turn faces into plates"
"Fluent 板","Fluent plates"
"螺钉头","Screw heads"
"Retopo_Head_Screw_","Retopo_Head_Screw_"
"螺钉","screws"
".f_screw",".f_screw"
"铆钉","Rivets"
"Rivets.Holes ","Rivets.Holes"
"Text2Mesh","Text2Mesh"
"角度限制","Angle limit"
"删除低于此值的顶点。","Remove vertices under this value."
"厚度","Thickness"
"固化修改器的厚度。","Thickness of the solidify modifier."
"固化","Solidify"
"放置电缆","Put a cable"
"Fluent 电线","Fluent wire"
"fluent_wire ","fluent_wire"
"Fluent_Wire ","Fluent_Wire"
".f_chain",".f_chain"
"将链转换为网","Convert chain to mesh"
"格 链 2 网格","Chain 2 mesh"
"安装枕头","Install Pillow"
"。\n ",".\n"
"PIL","PIL"
"半径","radius"
"inner_radius ","inner_radius"
".slice ",".slice"
".inset ",".inset"
".copy ",".copy"
".extracted ",".extracted"
"Fluent","Fluent "
"工具箱","Toolbox"
"链到网","Chain to mesh"
"格 布尔同步","Boolean synchronization"
"Fluent","Fluent"
"显示布尔","Show boolean"
"线框","Wireframe"
"复制/提取","Duplicate/Extract"
"完成","Complete"
"N 修复","N Repair"
"工具箱","ToolBox"
"切换循环 滑动","Toggle loop slide"
"按钮","Button"