"%s弯曲","%sBend"
"变形骨架","Morph Armature"
"更新 ERC 变形的骨架","Update the armature for ERC morphs"
"检查世界矩阵","Inspect World Matrix"
"列出活动对象的世界矩阵","List world matrix of active object"
"启用所有图层","Enable All Layers"
"启用所有骨骼层","Enable all bone layers"
"继承比例","Inherit Scale"
"骨骼继承比例","Bones inherit scale"
"自动变形骨架","Auto Morph Armatures"
"框架变化时自动变形骨架","Automatically morph armatures on frame change"
"文件路径","File Path"
"用于导出 .json 文件的文件路径","Filepath used for exporting the .json file"
"用于导入文件的文件路径","Filepath used for importing the file"
"获取指纹","Get Fingerprint"
"获取活动角色的指纹","Get fingerprint of active character"
"改善 IK","Improve IK"
"通过预弯曲 IK 骨骼来改善 IK","Improve IK by prebending IK bones"
"手指运动","Finger IK"
"为手指生成 IK 控制","Generate IK controls for fingers"
"舌头运动","Tongue IK"
"生成舌头的 IK 控制","Generate IK controls for tongue"
"重复使用弯曲和扭曲骨骼","Reuse Bend And Twist Bones"
"使用原始的弯曲扭曲骨骼和顶点组","Use the original bend-twist bones and vertex groups"
"保留 DAZ Rig","Keep DAZ Rig"
"保留原始 DAZ 装置以进行变形","Keep the original DAZ rig for deformation"
"修改 DAZ Rig","Modify DAZ Rig"
"改变变形装置的静止姿势以匹配控制装置","Change the rest pose of the deform rig to match the control rig"
"％s.％s","%s.%s"
"复制变换 %s","Copy Transform %s"
"将前缀更改为后缀","Change Prefix To Suffix"
"将 l/r 前缀更改为 .L/.R 后缀，\n以使用 Blender 对称工具","Change l/r prefix to .L/.R suffix,\nto use Blender symmetry tools"
"将后缀更改为前缀","Change Suffix To Prefix"
"将 .L/.R 后缀更改为 l/r 前缀，\n为 MHX 或 Rigify 准备装备","Change .L/.R suffix to l/r prefix,\nto prepare rig for MHX or Rigify"
"%s.fk.%s","%s.fk.%s"
"％s_fk。％s","%s_fk.%s"
"%s.弯曲.%s","%s.bend.%s"
"%s.扭曲.%s","%s.twist.%s"
"改变电枢","Change Armature"
"将活动骨架设为选定网格的骨架","Make the active armature the armature of selected meshes"
"重新定位驱动程序","Retarget Drivers"
"将shapekey驱动程序重新定位到新的骨架。\n警告：如果新的骨架缺少驱动程序，将导致错误","Retarget shapekey drivers to the new armature.\nWarning: Will cause errors if the new armature lack drivers"
"修复限制旋转约束","Fix Limit Rotation Constraints"
"将眼睛转移到凝视","Transfer Eye To Gaze"
"将眼骨动画转移到注视骨骼","Transfer eye bone animation to gaze bones"
"将目光转移到眼睛","Transfer Gaze To Eye"
"将凝视骨骼动画转移到眼骨","Transfer gaze bone animation to eye bones"
"%s%s","%s%s"
"%s_高清","%s_HD"
"UV 层","UV Layer"
"制作多分辨率","Make Multires"
"将高清网格转换为具有多分辨率修改器的网格，\n并添加顶点组和额外的 UV 层","Convert HD mesh into mesh with multires modifier,\nand add vertex groups and extra UV layers"
"折痕边","crease_edge"
"修剪 UV 贴图","Prune UV Maps"
"删除未使用的 UV 贴图","Remove unused UV maps"
"折叠 UDIM","Collapse UDIMs"
"将 UV 坐标限制在 [0:1] 范围内","Restrict UV coordinates to the [0:1] range"
"恢复 UDIM","Restore UDIMs"
"恢复 [0:1] 范围之外的原始 UV 坐标","Restore original UV coordinates outside the [0:1] range"
"加载 UV 集","Load UV Set"
"将 UV 集加载到活动网格","Load a UV set to the active mesh"
"限制顶点组","Limit Vertex Groups"
"限制每个顶点的顶点组数量","Limit the number of vertex groups per vertex"
"限制","Limit"
"每个顶点的最大顶点组数","Max number of vertex group per vertex"
"完成网格","Finalize Meshes"
"从网格中删除内部属性。\n禁用某些工具但可能会提高性能","Remove internal properties from meshes.\nDisables some tools but may improve performance"
"存储数据","Store Data"
"将数据存储在文件中","Store data in a file"
"覆盖","Overwrite"
"覆盖存储的数据","Overwrite stored data"
"最大子表面层级","Maximal Subsurf Level"
"最大子表面级别","Maximal subsurf level"
"原始指纹","Original Fingerprint"
"混合文件","Blend File"
"定义对象的 Blend 文件","Blend file where the object is defined"
"删除 %s","Delete %s"
"颜色","Color"
"基本颜色","Base Color"
"改变颜色","Change Colors"
"更改此对象的所有材质的视口颜色","Change viewport colors of all materials of this object"
"改变肤色","Change Skin Colors"
"材料种类","Material Type"
"发色","Hair Color"
"检查条","Check Strips"
"检查头发网格是否由 UV 空间中的条带组成","Check that the hair mesh consists of strips in UV space"
"股线类型","Strand Type"
"网状发束类型","Mesh hair strand type"
"链取向","Strand Orientation"
"如何在 UV 空间中定向线束","How the strands are oriented in UV space"
"保持网格头发","Keep Mesh Hair"
"制作粒子头发后保留（重建）网格头发","Keep (reconstruct) mesh hair after making particle hair"
"输出","Output"
"单路输出","Single Output"
"头发输出是单个对象","Hair output is a single object"
"去除颗粒毛发","Remove Particle Hair"
"从该网格中移除现有的粒子系统","Remove existing particle systems from this mesh"
"分离松散部件","Separate Loose Parts"
"稀疏性","Sparsity"
"仅使用每 n 根头发","Only use every n:th hair"
"头发长度","Hair Length"
"调整后的头发长度。如果启用了“自动调整大小”，则为最大长度。","Length of resized hair. Maximum length if Auto Resize is enabled."
"调整头发大小","Resize Hair"
"自动调整大小","Auto Resize"
"将每种材料的大小调整为最长线的长度","Resize each material to the length of the longest strand"
"以块为单位调整大小","Resize In Blocks"
"然后将头发分成十块进行调整","Resize hair in blocks of ten afterwards"
"渲染子项","Render Children"
"渲染中显示的头发子数量","Number of hair children displayed in renders"
"股线形状","Strand Shape"
"股线形状","Strand shape"
"视口子项","Viewport Children"
"视口中显示的头发子项数量","Number of hair children displayed in viewport"
"视口步骤","Viewport Steps"
"绘制路径需要多少步（2 的幂）","How many steps paths are drawn with (power of 2)"
"渲染步骤","Render Steps"
"路径渲染的步数（2 的幂）","How many steps paths are rendered with (power of 2)"
"根部半径 (mm)","Root radius (mm)"
"根部股线直径","Strand diameter at the root"
"尖端半径（毫米）","Tip radius (mm)"
"尖端处的股线直径","Strand diameter at the tip"
"毛发半径(mm)","Hair radius (mm)"
"股线直径","Strand diameter"
"头发形状","Hair Shape"
"头发形状参数","Hair shape parameter"
"头发长度（米）","Hair Length (meters)"
"发射时的头发长度","Hair length during emission"
"视口因子","Viewport Factor"
"视口中显示的子项比例","The fraction of children displayed in the viewport"
"儿童半径（mm）","Child radius (mm)"
"子节点围绕父节点的半径","Radius of children around parent"
"多种材质","Multi Materials"
"为每种材质创建单独的粒子系统","Create separate particle systems for each material"
"保留材质","Keep Material"
"使用现有材料","Use existing material"
"使用活动纹理","Use Active Texture"
"使用头皮网格的活动纹理作为头发颜色","Use the active texture of the scalp mesh as hair color"
"材料","Material"
"用作头发材料的材料","Material to use as hair material"
"头发材料方法","Hair Material Method"
"头发材质节点树的类型","Type of hair material node tree"
"距离","Distance"
"制作头发","Make Hair"
"用网状头发制作粒子头发","Make particle hair from mesh hair"
"创造","Create"
"设置","Settings"
"网格毛发","Mesh Hairs"
"头发 %s","Hair %s"
"%d_%s","%d_%s"
"%s %","H%s"
"颅骨","Skull"
"更新头发","Update Hair"
"将设置从活动粒子系统复制到所有其他粒子系统","Copy settings from active particle system to all other particle systems"
"影响材质","Affect Material"
"也改变材料","Also change materials"
"结合头发","Combine Hairs"
"将多个毛发粒子系统组合成一个","Combine several hair particle systems into a single one"
"（%3d）%s","(%3d)   %s"
"染发","Color Hair"
"改变粒子头发颜色","Change particle hair color"
"连接头发","Connect Hair"
"（重新）连接头发","(Re)connect hair"
"添加固定组","Add Pinning Group"
"将 HairPin 组添加到网格头发","Add HairPin group to mesh hair"
"发夹","HairPinning"
"修改顶点组","Modify Vertex Group"
"修改活动顶点组","Modify the active vertex group"
"方向","Direction"
"顶点组：%s","Vertex group: %s"
"添加头发装备","Add Hair Rig"
"为网格头发添加骨架","Add an armature to mesh hair"
"行业","Sectors"
"扇区数","Number of sectors"
"扇区偏移","Sector Offset"
"到第一扇区起点的角度","Angle to beginning of first sector"
"一根头发里的骨头数量","Number of bones in a hair"
"控制方法","Control Method"
"控制头发姿势的方法","Method for controlling hair posing"
"隐藏骨骼","Hide Bones"
"如果使用 IK，则隐藏变形骨骼","Hide the deform bones if using IK"
"圆度","Roundness"
"从头部开始放射状扩张关节，使骨骼更圆","Expand the joints radially from the head to make the bones rounder"
"分离式发夹","Separate Hair Rig"
"制作一个与头部骨骼关联的单独装备，\n而不是将骨骼添加到主装备中","Make a separate rig parented to the head bone,\ninstead of adding bones to the main rig"
"头","Head"
"头骨名称","Name of the head bone"
"加权方法","Weighting Method"
"网格加权方法","Method for weighting mesh"
"头发起始位置","Hair Start Location"
"UV 空间中头发开始的位置","Location in UV space where hair starts"
"头端位置","Head End Location"
"头部末端在 UV 空间中的位置","Location in UV space where head ends"
"風險_%s","Wind_%s"
"电枢头发","Armature Hair"
"%s 装备","%s Rig"
"头发_%d_%d","Hair_%d_%d"
"反向连接 %s","IK %s"
"修剪节点树","Prune the node tree"
"紧凑布局","Compact Layout"
"袖珍的","Compact"
"使用驱动程序","Use Drivers"
"具有电枢属性的驱动图","Drive maps with armature properties"
"智能瓷砖","Smart Tiles"
"从材质上识别瓷砖","Identify tiles from materials"
"瓦","Tile"
"在此图块中加载纹理。\n所选材料应与图块匹配","Load textures in this tile.\nSelected materials should match the tile"
"将贴图添加到材质：","Add Maps To Materials:"
"规模","Scale"
"位移节点的比例值","Scale value for displacement node"
"中级","Midlevel"
"位移节点的中间值","Midlevel value for displacement node"
"加载标量位移图","Load Scalar Disp Maps"
"将标量位移图加载到选定材质","Load scalar displacement map to selected materials"
"加载矢量显示图","Load Vector Disp Maps"
"将矢量置换图加载到选定材质","Load vector displacement map to selected materials"
"加载法线贴图","Load Normal Maps"
"将法线贴图加载到选定材质","Load normal maps to selected materials"
"烘烤类型","Bake Type"
"图片大小","Image Size"
"子文件夹","Subfolder"
"法线/置换贴图的子文件夹","Subfolder for normal/displace maps"
"基名称","Base Name"
"用于构造文件名的名称","Name used to construct file names"
"烘焙贴图","Bake Maps"
"为选定的高清网格烘焙法线/位移贴图","Bake normal/displacement maps for the selected HD meshes"
"单块","Single Tile"
"仅为单个图块烘焙地图","Only bake map for a single tile"
"单块瓷砖烘烤","Single tile to bake"
"加载烘焙地图","Load Baked Maps"
"为选定的网格加载烘焙的法线/位移贴图","Load baked normal/displacement maps for the selected meshes"
"置换比例","Displacement Scale"
"位移比例","Displacement scale"
"单组","Single Group"
"将所有选定的网格视为一个组","Treat all selected meshes as a single group"
"团队名字","Group Name"
"單身組名","Name of the single group"
"添加可视性驱动程序","Add Visibility Drivers"
"使用装备属性控制可见性。用于文件链接。","Control visibility with rig property. For file linking."
"添加收藏夹","Add Collections"
"将选定的网格移动到新集合","Move selected meshes to new collections"
"删除可见性驱动程序","Remove Visibility Drivers"
"删除从钻机属性控制可见性的能力","Remove ability to control visibility from rig property"
"场景中的所有网格","All Meshes In Scene"
"移除场景中所有网格的可见性驱动程序，\n而不仅仅是活动装备的子项","Remove visibility drivers from all meshes in scene,\nnot just children of the active rig"
"显示所有","Show All"
"显示该装备的所有网格/组成","Show all meshes/makeup of this rig"
"全部藏起来","Hide All"
"隐藏此装备的所有网格/构成","Hide all meshes/makeup of this rig"
"切换可见性","Toggle Vis"
"切换此网格的可见性","Toggle visibility of this mesh"
"创建蒙版","Create Masks"
"在活动网格中为选定网格创建顶点组和遮罩修改器","Create vertex groups and mask modifiers in active mesh for selected meshes"
"复制蒙版","Copy Masks"
"将选定的遮罩修改器和顶点组从活动状态复制到选定状态","Copy selected mask modifiers and vertex groups from active to selected"
"添加收缩包裹","Add Shrinkwrap"
"添加覆盖活动网格的收缩包裹修改器。\n可选择添加固化修改器","Add shrinkwrap modifiers covering the active mesh.\nOptionally add solidify modifiers"
"偏移（毫米）","Offset (mm)"
"从角色网格偏移表面","Offset the surface from the character mesh"
"固化","Solidify"
"添加固化修改器","Add a solidify modifier too"
"厚度（毫米）","Thickness (mm)"
"表面厚度","Thickness of the surface"
"添加顶点组","Add Vertex Groups"
"添加影响顶点组","Add influence vertex groups"
"应用修改器","Apply Modifiers"
"之后应用修改器","Apply modifiers afterwards"
"使不可见","Make Invisible"
"通过为选定面指定不可见材质来隐藏选定面","Hide selected faces by assigning an invisible material to them"
"隐身术","Invisio"
"添加 Shapekey 可见性驱动程序","Add Shapekey Visibility Drivers"
"根据所选衣服的可见性，向所选形状键添加驱动程序","Add drivers to selected shapekeys,\ndepending on the visibility of selected clothes"
"倒置驱动器","Inverted Drivers"
"当衣服可见时启用shapekey","Enable shapekey when clothes are visible"
"米","M"
"帕斯卡尔","parscale"
"皮肤","SKIN"
"衣服","Clothes"
"视口颜色","Viewport Color"
"网格拟合","Mesh Fitting"
"网格拟合方法","Mesh fitting method"
"变形强度","Morph Strength"
"变形强度","Morph strength"
"加载 DAZ 文件","Load a DAZ File"
"手动导入 DAZ","Import DAZ Manually"
"加载原生 DAZ 文件。\n其他操作必须手动完成。\n此工具主要用于调试","Load a native DAZ file.\nFurther operations must be done manually.\nThis tool is mainly for debugging"
"更多选项请参见全局设置。","For more options, see Global Settings."
"导入 DAZ 材质","Import DAZ Materials"
"将材料从原生 DAZ 文件加载到活动网格","Load materials from a native DAZ file to the active mesh"
"更换插槽","Replace Slots"
"用第一种材料替换现有的材料槽","Replace existing material slots with first materials"
"添加插槽","Add Slots"
"在现有材料槽后添加额外材料","Add extra materials after existing material slots"
"匹配名称","Match Names"
"匹配材质名称","Match material names"
"加载 DAZ 文件并执行最常见的操作","Load a DAZ File and perform the most common opertations"
"轻松导入 DAZ","Easy Import DAZ"
"加载原生 DAZ 文件并执行最常见的操作","Load a native DAZ file and perform the most common operations"
"消除空瓶","Eliminate Empties"
"删除非隐藏的空元素，并将其子元素作为其父元素","Delete non-hidden empties, parenting its children to its parent instead"
"合并钻机","Merge Rigs"
"将所有装备合并到主角装备中","Merge all rigs to the main character rig"
"应用变换","Apply Transforms"
"将所有变换应用于非骨骼对象","Apply all transforms to objects that are not bone parented"
"合并材质","Merge Materials"
"合并相同材质","Merge identical materials"
"合并脚趾","Merge Toes"
"将分开的脚趾合并为单个脚趾骨骼","Merge separate toes into a single toe bone"
"烘焙矫正剂","Baked Correctives"
"导入烘焙变形的所有自定义校正","Import all custom correctives for baked morphs"
"DAZ 收藏夹","DAZ Favorites"
"导入 DAZ 最喜欢的变形","Import DAZ favorite morphs"
"转移到衣服上","Transfer To Clothes"
"将形键从角色转移到衣服上","Transfer shapekeys from character to clothes"
"转移到 Geografts","Transfer To Geografts"
"将形状键从角色转移到地理移植。\n如果地理移植合并，则始终启用","Transfer shapekeys from character to geografts.\nAlways enabled if geografts are merged"
"转移到面部网格","Transfer To Face Meshes"
"转移到头发上","Transfer To Hair"
"将形状键从角色转移到头发网格","Transfer shapekeys from character to hair meshes"
"合并地理移植","Merge Geografts"
"将选定的地理移植合并到活动对象。\n不使用几何节点。\n不适用于嵌套的地理移植。\n形状键始终先传输","Merge selected geografts to active object.\nGeometry nodes are not used.\nDoes not work with nested geografts.\nShapekeys are always transferred first"
"使用最喜欢的变形","Use Favorite Morphs"
"加载最喜欢的变形，而不是加载标准变形","Load a favorite morphs instead of loading standard morphs"
"最喜欢的变体","Favorite Morphs"
"通往最喜爱形态的路径","Path to favorite morphs"
"使用调节器","Use Adjusters"
"最终优化","Final Optimizations"
"对装备和网格进行最终优化","Make final optimizations to the rig and mesh"
"解码文件","Decode File"
"将压缩的 DAZ 文件 (*.duf、*.dsf、*.dbz) 解码为文本文件","Decode a gzipped DAZ file (*.duf, *.dsf, *.dbz) to a text file"
"引用","Quote"
"引述结束","Unquote"
"引述/引述结束","Quote/Unquote"
"引用或取消引用指定的文本","Quote or unquote specified text"
"键入要引用或取消引用的文本","Type text to quote or unquote"
"DAZ（.duf、.dsf）","DAZ (.duf, .dsf)"
"活性材料：%s","Active Material: %s"
"全部","All"
"选择所有材料","Select all materials"
"皮肤","Skin"
"选择表皮材质","Select skin materials"
"皮肤-嘴唇-指甲","Skin-Lips-Nails"
"选择全部皮肤或红色材料","Select all skin or red materials"
"未选择任何材料","Select no material"
"向量","Vector"
"启动材质编辑器","Launch Material Editor"
"编辑选定网格的材质","Edit materials of selected meshes"
"所有材料","All Materials"
"影响所有选定网格的所有材质","Affect all materials of all selected meshes"
"仅限修改过的频道","Only Modified Channels"
"仅更新已由材质编辑器修改的通道","Only update channels that have been modified by the material editor"
"更新资料","Update Materials"
"制作组合材质","Make Combo Material"
"为选定的材料创建组合节点组","Create a combo node group for selected materials"
"%s:%s 组合","%s:%s Combo"
"制作贴花","Make Decal"
"为活动材质添加贴花","Add a decal to the active material"
"渠道","Channel"
"将贴花添加到此频道","Add decal to this channel"
"重复使用空","Reuse Empty"
"重复使用现有的空文件，而不是创建新的","Reuse an existing empty instead of creating a new one"
"空的","Empty"
"空的可重复使用","Empty to reuse"
"使用遮罩","Use Mask"
"使用单独的纹理来掩盖贴花","Use a separate texture to mask the decal"
"贴花面膜","Decal Mask"
"贴花蒙版纹理的路径","Path to decal mask texture"
"混合类型","Blend Type"
"贴花与皮肤混合的类型","Type of blending decal with skin"
"%s_%s","%s_%s"
"重置材料","Reset Materials"
"将材料重置为原始状态","Reset materials to original"
"设置壳影响","Set Shell Influence"
"切换 Shell 影响","Toggle Shell Influence"
"驱动壳影响力","Drive Shell Influence"
"为外壳和分层图像影响创建驱动程序","Create drivers for shell and layered image influence"
"制作调色板","Make Palette"
"创建用于资产浏览器的调色板","Create a palette for use with the asset browser"
"标记为资产","Mark As Asset"
"标记资产浏览器的调色板，并使所有材料独一无二","Mark the palette for the asset browser and make all materials unique"
"调色板形状","Palette Shape"
"调色板形状","Palette shape"
"%s 调色板","%s Palette"
"更换材料","Replace Materials"
"使用指定材料替换选定材料。\n用于复制土工移植基底材料","Replace selected materials with specified material.\nFor copying geograft base materials"
"使用此材质的节点树","Use node tree from this material"
"查找缺失的纹理","Find Missing Textures"
"在 DAZ 数据库中搜索选定网格的缺失纹理","Search for missing textures of selected meshes in the DAZ database"
"激活漫反射","Activate Diffuse"
"激活漫反射纹理节点，\n以使纹理视图正常工作","Activate diffuse texture node,\nto make textured view work correctly"
"筛选","Filter"
"仅显示包含此字符串的项目","Show only items containing this string"
"%s_%s%s","%s_%s%s"
"保存本地纹理","Save Local Textures"
"将纹理复制到混合文件中的纹理子文件夹","Copy textures to the textures subfolder in the blend file"
"保留目录","Keep Directories"
"保留 Daz Studio 的目录树，否则展平目录结构","Keep the directory tree from Daz Studio, otherwise flatten the directory structure"
"忽略撞击强度","Ignore Bump Strength"
"即使凸起强度不同，也可以合并材料","Merge materials even if the bump strengths differ"
"结合场景材质","Combine Scene Materials"
"将场景中相同的材质跨对象组合在一起","Combine identical materials in scene across objects"
"合并选定网格的相同材质","Merge identical materials of selected meshes"
"复印材料","Copy Materials"
"将材料从活动网格复制到选定网格","Copy materials from active mesh to selected meshes"
"替换面部分配","Replace Face Assignment"
"替换所有材质并重新分配面号。\n网格必须具有相同的拓扑结构","Replace all materials and reassign face numbers.\nThe meshes must have identical topology"
"根据名称而不是材料槽来匹配材料","Match materials based on names rather than material slots"
"不匹配时出错","Error On Mismatch"
"如果源材料和目标材料的数量不同，则会引发错误","Raise an error if the number of source and target materials are different"
"添加新材料","Add New Materials"
"在现有材料后添加材料","Add materials after existing materials"
"脚步","Steps"
"按照此步数调整原始图像的大小","Resize original images with this number of steps"
"调整全部大小","Resize All"
"调整选定网格的所有纹理的大小","Resize all textures of the selected meshes"
"更改分辨率","Change Resolution"
"调整纹理大小","Resize Textures"
"用调整大小的版本替换选定网格的所有纹理","Replace all textures of selected meshes with resized versions"
"修剪节点树","Prune Node Trees"
"修剪选定网格的所有材质节点树","Prune all material node trees for selected meshes"
"删除未使用的节点","Delete Unused Nodes"
"删除未连接到材质输出的节点","Delete nodes not connected to material output"
"隐藏纹理节点","Hide Texture Nodes"
"隐藏所有纹理节点","Hide all texture nodes"
"修剪纹理坐标","Prune Texture Coordinates"
"删除未连接到映射节点的纹理坐标节点","Delete texture coordinates nodes not connected to mapping nodes"
"隐藏未使用的输出","Hide Unused Outputs"
"隐藏未使用的输出插座","Hide unused output sockets"
"保留未使用的纹理","Keep Unused Textures"
"保留未使用通道的纹理","Keep textures from unused channels"
"固定色彩空间","Fix Color Space"
"美化","Beautify"
"美化节点树","Beautify node tree"
"更新渲染设置","Update Render Settings"
"如果渲染和灯光设置不合适，请更新它们","Update render and light settings if they are inadequate"
"带材名称","Strip Material Names"
"删除材料名称的结尾","Strip endings from material names"
"结合材料","Combine Materials"
"合并具有相同剥离名称的材料","Combine materials with the same stripped name"
"按名称对材料进行排序","Sort Materials By Name"
"像在 DAZ Studio 中一样按名称重新排序材料","Reorder materials by name as in DAZ Studio"
"合并 UV 层","Merge UV Layers"
"合并所有网格的活动渲染 UV 层","Merge active render UV layers of all meshes"
"允许重叠","Allow Overlap"
"还合并重叠的 UV 层。\n可以破坏 UV 分配","Also merge overlapping UV layers.\nCan destroy UV assignment"
"添加顶点表","Add Vertex Table"
"保留原始网格","Keep Original Meshes"
"将原始网片和土工移植物分开存放","Keep the original mesh and geografts in separate collections"
"修复 UV 平铺","Fix UV Tiles"
"根据纹理名称将 geograft UV 移动到瓷砖","Move geograft UVs to tile based on texture names"
"SubD 位移","SubD Displacement"
"如果某些地理移植有 SubD 位移，请将其添加到合并网格中。\n可能会减慢渲染速度","Add SubD Displacement to the merge mesh if some geograft has it.\nMay slow down rendering"
"几何节点（实验）","Geometry Nodes (Experimental)"
"使用几何节点合并地理移植","Merge geografts using geometry nodes"
"将选定的地理移植合并到活动对象","Merge selected geografts to active object"
"UDIM 材料","UDIM Materials"
"%s 已合并","%s Merged"
"成对的主体_vert_％s","paired_body_vert_%s"
"接枝","Graft"
"%s 掩码","%s Mask"
"%s 边缘","%s Edge"
"地理移植:%s:END","Geograft:%s:END"
"输入_％d_属性名称","Input_%d_attribute_name"
"Socket_%d_属性名称","Socket_%d_attribute_name"
"大移植团体","Greate Graft Groups"
"根据移植信息创建顶点组","Create vertex groups from graft information"
"%s：移植","%s:Graft"
"%s:掩码","%s:Mask"
"％s（％d）","%s (%d)"
"要合并的图层","Layer To Merge"
"与活动渲染层合并的 UV 层","UV layer that is merged with the active render layer"
"允许合并重叠的 UV 层","Allow merging overlapping UV layers"
"活动层：%s","Active Layer: %s"
"合并网格","Merge Meshes"
"删除空元素，将其子元素设置为其父元素","Delete empties, parenting its children to its parent instead"
"消除所有空瓶","Eliminate All Empties"
"消除场景中的所有空物体，\n不仅仅是与选定物体相关的物体","Eliminate all empties in the scene,\nnot only those associated with selected objects"
"创建收藏夹","Create Collections"
"用集合替换空瓶","Replace empties with collections"
"删除隐藏的空瓶","Delete Hidden Empties"
"同时删除隐藏的空瓶","Also delete empties that are hidden"
"创建重复骨骼","Create Duplicate Bones"
"如果发现多个同名的骨骼，则创建单独的骨骼","Create separate bones if several bones with the same name are found"
"不合格钻机","Non-conforming Rigs"
"还合并不合格的装备。\n（骨骼为父级且与主装备没有共同的骨骼）","Also merge non-conforming rigs.\n(Bone parented and with no bones in common with main rig)"
"转换为小部件","Convert To Widgets"
"将面部控制转换为骨骼自定义形状","Convert face controls to bone custom shapes"
"将选定装备合并到活动装备","Merge selected rigs to active rig"
"单独的字符","Separate Characters"
"独生子女装备","Only Child Rigs"
"仅合并活动骨架的子骨架","Only merge armatures that are children of the active armature"
"创建网格集合","Create Mesh Collection"
"创建新集合并将所有网格移至其中","Create a new collection and move all meshes to it"
"0","0"
"电枢 %s","Armature %s"
"复制姿势","Copy Pose"
"将姿势从活动装备复制到选定装备","Copy pose from active rig to selected rigs"
"将当前静止姿势应用于选定的装备和儿童","Apply current pose at rest pose to selected rigs and children"
"复制位置 %s","Copy Location %s"
"复制旋转 %s","Copy Rotation %s"
"复制比例 %s","Copy Scale %s"
"暗示","Hint"
"延伸至 %s","StretchTo %s"
"阻尼轨道 %s","Damped Track %s"
"锁定曲目 %s","Locked Track %s"
"%s 的子代","ChildOf %s"
"DEF-%s","DEF-%s"
"转换为 MHX","Convert To MHX"
"将钻机转换为 MHX","Convert rig to MHX"
"调整骨骼","Tweak Bones"
"添加调整骨骼","Add tweak bones"
"显示链接骨骼","Show Link Bones"
"显示链接骨骼","Show link bones"
"杆靶","Pole Targets"
"使用极点目标进行 IK。\n启用以实现完美的 FK/IK 捕捉","Use pole targets for IK.\nEnable for perfect FK/IK snapping"
"使用四元数表示球窝关节（肩部和臀部）。\n停用以实现向后兼容","Use quaternions for ball-and-socket joints (shoulders and hips).\nDisable for backward compatibility"
"伸展四肢","Stretchy Limbs"
"使手臂和腿具有伸展性","Enable stretchiness for arms and legs"
